trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
799,False,"{'a': 0.5, 'e': 0.9212555880333047}",20,0,-57.3438161472374,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
800,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-186.14049793772293,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
801,False,"{'a': 0.5, 'e': 0.9208661697072218}",20,0,-52.856984111941465,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
802,False,"{'a': 0.5, 'e': 0.9206711151950209}",20,0,-83.16929767998825,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
803,False,"{'a': 0.5, 'e': 0.9204758305150459}",20,0,-103.41968714020666,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
804,False,"{'a': 0.5, 'e': 0.9202803157161181}",20,0,-54.768531029566645,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
805,False,"{'a': 0.5, 'e': 0.9200845708471163}",20,1,-189.08510915608235,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 3}",1
806,False,"{'a': 0.5, 'e': 0.9198885959569765}",25,0,-210.93808519401105,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
807,False,"{'a': 0.5, 'e': 0.9196923910946925}",25,0,-151.6405540087376,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
808,False,"{'a': 0.5, 'e': 0.9194959563093155}",20,4,-56.43761887619519,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 0}",1
809,False,"{'a': 0.5, 'e': 0.9192992916499542}",20,0,-99.78076460065604,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
810,False,"{'a': 0.5, 'e': 0.9191023971657747}",20,1,-85.93197493940355,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 1}",1
811,False,"{'a': 0.5, 'e': 0.9189052729060008}",20,0,-47.37128913417598,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
812,False,"{'a': 0.5, 'e': 0.9187079189199134}",25,0,-69.58561774935387,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
813,False,"{'a': 0.5, 'e': 0.9185103352568511}",20,0,-92.32572044634145,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
814,False,"{'a': 0.5, 'e': 0.9183125219662098}",20,0,-25.15071335132966,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
815,False,"{'a': 0.5, 'e': 0.9181144790974428}",20,0,-91.4859790700795,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
816,False,"{'a': 0.5, 'e': 0.9179162067000607}",20,0,-93.98692274218764,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
817,False,"{'a': 0.5, 'e': 0.9177177048236318}",20,0,-130.92677147975354,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
818,False,"{'a': 0.5, 'e': 0.9175189735177814}",20,0,-130.10767555224618,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
819,False,"{'a': 0.5, 'e': 0.9173200128321924}",25,0,-158.00175435496666,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",0
820,False,"{'a': 0.5, 'e': 0.9171208228166051}",20,0,-19.083324641046058,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
821,False,"{'a': 0.5, 'e': 0.9169214035208167}",25,0,-76.18286866038761,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
822,False,"{'a': 0.5, 'e': 0.9167217549946823}",20,2,-104.66700293211186,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
823,False,"{'a': 0.5, 'e': 0.916521877288114}",20,8,-41.333785066666344,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
824,False,"{'a': 0.5, 'e': 0.916321770451081}",25,6,-51.995449179170066,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
825,False,"{'a': 0.5, 'e': 0.9161214345336103}",20,8,-105.09183858329885,"{0: 5, 1: 0, 2: 5, 3: 1, 4: 1}",1
826,False,"{'a': 0.5, 'e': 0.9159208695857856}",20,0,-71.89906882220914,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
827,False,"{'a': 0.5, 'e': 0.9157200756577484}",25,0,-105.64692972155075,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
828,False,"{'a': 0.5, 'e': 0.9155190527996969}",25,0,-94.6690363510788,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
829,False,"{'a': 0.5, 'e': 0.9153178010618871}",20,0,-51.376692641324404,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
830,False,"{'a': 0.5, 'e': 0.9151163204946318}",20,0,-62.13822779741007,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
831,False,"{'a': 0.5, 'e': 0.914914611148301}",20,0,-130.75272155439703,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
832,False,"{'a': 0.5, 'e': 0.9147126730733223}",20,0,-105.6093546714205,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
833,False,"{'a': 0.5, 'e': 0.91451050632018}",20,6,-48.865733083820196,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
834,False,"{'a': 0.5, 'e': 0.914308110939416}",20,0,-62.08749906865831,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
835,False,"{'a': 0.5, 'e': 0.914105486981629}",25,0,-125.1196824601878,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
836,False,"{'a': 0.5, 'e': 0.913902634497475}",25,12,-4.059767736670409,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
837,False,"{'a': 0.5, 'e': 0.9136995535376672}",20,0,-109.79319516908456,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
838,False,"{'a': 0.5, 'e': 0.9134962441529757}",30,16,-65.3343908186885,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
839,False,"{'a': 0.5, 'e': 0.9132927063942279}",20,6,-11.028798755735261,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
840,False,"{'a': 0.5, 'e': 0.9130889403123083}",20,0,-62.976573844805415,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
841,False,"{'a': 0.5, 'e': 0.9128849459581584}",25,0,-196.9156134948071,"{0: 11, 1: 6, 2: 4, 3: 1, 4: 3}",0
842,False,"{'a': 0.5, 'e': 0.9126807233827767}",20,3,-86.82515502808992,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 2}",1
843,False,"{'a': 0.5, 'e': 0.9124762726372189}",20,0,-75.96740638600988,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
844,False,"{'a': 0.5, 'e': 0.9122715937725977}",20,0,-83.7048792321202,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
845,False,"{'a': 0.5, 'e': 0.9120666868400829}",20,0,-17.453087989546596,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
846,False,"{'a': 0.5, 'e': 0.911861551890901}",20,0,-122.79604449869389,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
847,False,"{'a': 0.5, 'e': 0.911656188976336}",20,0,-134.68837042410195,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
848,False,"{'a': 0.5, 'e': 0.9114505981477284}",25,0,-145.29747926445714,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
849,False,"{'a': 0.5, 'e': 0.9112447794564761}",20,0,-69.17774710784298,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
850,False,"{'a': 0.5, 'e': 0.9110387329540337}",20,0,-160.56945747538873,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
851,False,"{'a': 0.5, 'e': 0.9108324586919128}",20,0,-155.4909491683164,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
852,False,"{'a': 0.5, 'e': 0.9106259567216819}",30,0,-140.43371030543986,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
853,False,"{'a': 0.5, 'e': 0.9104192270949666}",20,8,-64.54446712611566,"{0: 5, 1: 1, 2: 5, 3: 1, 4: 0}",1
854,False,"{'a': 0.5, 'e': 0.9102122698634492}",25,0,-194.29230376240943,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
855,False,"{'a': 0.5, 'e': 0.9100050850788691}",25,0,-46.53451539932861,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
